job_title,salary_in_usd,rank
Principal Data Engineer,600000,1
Research Scientist,450000,2
Financial Data Analyst,450000,3
Applied Machine Learning Scientist,423000,4
Principal Data Scientist,416000,5
Data Scientist,412000,6
Director of Data Science,325000,7
Lead Data Engineer,276000,8
ML Engineer,270000,9
Machine Learning Scientist,260000,10
Machine Learning Engineer,250000,11
Head of Data,235000,12
Data Analyst,200000,13
Data Engineer,200000,13
Director of Data Engineering,200000,15
